"","id","type","price","netHabitableSurface","landSurface","bedrooms","gemeente","postalCode","street","number","lat","lon","url","category"
"282",1729592,"HOUSE",425000,219,170,4,"Antwerpen","2170","Camelialei","32",4.4582850291505,51.251309747868,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1729592",NA
"283",2329327,"HOUSE",285000,117,210.39338460867,4,"Mechelen","2800","Pastorijstraat","23",4.458465804159,51.066540195865,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2329327",NA
"284",2042102,"HOUSE",299000,163,418,3,"Essen","2910","Molenakkersstraat","15",4.45877,51.46367,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2042102",NA
"285",1801963,"HOUSE",359000,140,75,5,"Antwerpen","2170","Irislei","5",4.4590157812217,51.247338783531,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1801963",NA
"286",1869351,"HOUSE",319000,224,125,4,"Antwerpen","2170","Molenlei","108",4.4593527801627,51.247946811283,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1869351",NA
"287",2329357,"HOUSE",475000,175,228,4,"Mechelen","2800","Pastorijstraat","10",4.459684189145,51.066267028126,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2329357",NA
"288",1898814,"HOUSE",379900,225,140.08967102133,3,"Antwerpen","2100","Ravelsbergstraat","8",4.4599338531724,51.202759578637,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1898814",NA
"289",2144873,"HOUSE",335000,191,295,5,"Schoten","2900","Eethuisstraat","131",4.4608731990788,51.247682111201,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2144873",NA
"290",1702407,"HOUSE",299000,192,180,3,"Antwerpen","2100","August petenlei","53",4.4615221562487,51.203897930065,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1702407",NA
"291",1884796,"HOUSE",399000,175,97.635493220761,4,"Antwerpen","2100","Palinckstraat","60 ",4.4617389569026,51.223751538757,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1884796",NA
"292",1795429,"HOUSE",599000,240,357,3,"Antwerpen","2100","Herentalsebaan","224",4.461752151048,51.208282827378,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1795429",NA
"293",2027499,"HOUSE",369000,140,315.45041247897,3,"Edegem","2650","Buizegemlei","181",4.4619105480544,51.151225444749,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2027499",NA
"294",2153075,"HOUSE",245000,126,85,3,"Schoten",NA,"Pletterijstraat","94",4.4619318126414,51.239768670367,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2153075","new"
"295",2153085,"HOUSE",329000,240,228,4,"Schoten","2900","Pletterijstraat","81",4.4621168771268,51.240063726172,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/2153085",NA
"296",1774089,"HOUSE",259000,145,80,6,"Antwerpen","2100","Gallifortlei","64",4.462632812154,51.221745376086,"https://www.realo.be/en/diesterbaan-11-2200-noorderwijk/1774089",NA
